Index,Word,Meaning,Synonyms,Conjugation,Searched,Unnamed: 6,,,,,,
8847,miminika,churuzika,"nyiririka, tiririka",,,Edit Word Delete Word Create a Question,,,,,,
8848,minajili,kwa sababu ya: Nimekuja kwa minajili ya kuomba msaada wako.,,,,Edit Word Delete Word Create a Question,,,,,,
8849,mindi,"mnyamapori afananaye na funo, swala na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
8850,minghairi,pasipo,"bila, ghairi",,,Edit Word Delete Word Create a Question,,,,,,
8851,ming'inya,bana kitu laini kwa vidole au vitu vyenye pande mbili,,"ming'inyana, ming'inyika, ming'inywa",,Edit Word Delete Word Create a Question,,,,,,
8852,mini,kitu kifupi kuliko kawaida yake | gauni fupi linalofika juu ya magoti,,,,Edit Word Delete Word Create a Question,,,,,,
8853,minibasi,basi dogo,,,,Edit Word Delete Word Create a Question,,,,,,
8854,minisketi,sketi fupi inayofika juu ya magoti ya mvaaji,,,,Edit Word Delete Word Create a Question,,,,,,
8855,mintarafu,kutokana na: Mintarafu ya maelezo yako inaelekea ulikuwa na shida.,,,,Edit Word Delete Word Create a Question,,,,,,
8856,minya,bana kitu laini kwa nguvu kwa mfano titi au jipu ili kukamua kilichomo,,"minyana, minyia, minyiana, minyika, minyisha, minyiwa, minywa",,Edit Word Delete Word Create a Question,,,,,,
8857,miondoko,namna ya kutembea | mtindo wa kucheza dansi,,,,Edit Word Delete Word Create a Question,,,,,,
8858,miongoni,"baadhi ya, kati ya: Wanafunzi ni miongoni mwa watu walionilaki.",,,,Edit Word Delete Word Create a Question,,,,,,
8859,mipasho,nyimbo za mafumbo aghalabu za taarabu zilizokusudiwa kumsema mtu,,,,Edit Word Delete Word Create a Question,,,,,,
8860,miraa,vikonyo vya mraa vyenye majani yanayotafunwa kuwa kileo,"mirungi, mairungi",,,Edit Word Delete Word Create a Question,,,,,,
8861,miraba minne,kubwa na nene na -enye nguvu: Jitu la miraba minne.,,,,Edit Word Delete Word Create a Question,,,,,,
8862,mirathi,mali iliyoachwa na marehemu ili igawanywe kwa watoto wake | utaratibu wa kugawa mali ya marehemu kwa mujibu wa sharia ya Kiisilamu,,,,Edit Word Delete Word Create a Question,,,,,,
8863,mirimo,shughuli inayorithishwa na wazee kwa watoto wao | siri inayojulikana kwa wachawi peke yao,,,,Edit Word Delete Word Create a Question,,,,,,
8864,mirungi,,,,,Edit Word Delete Word Create a Question,,,,,,
8865,misa,ibada inayoongozwa na padri ikiambatana na sakramenti ya ekaristi: Padri husoma misa tatu kila Jumapili.,,,,Edit Word Delete Word Create a Question,,,,,,
8866,misale,kitabu cha sala za ibada ya misa,,,,Edit Word Delete Word Create a Question,,,,,,
8867,misheni,"makazi ya watumishi wa kanisa, hususan mapadri na masista | kikundi cha watu wanaotangaza na kueneza dini ya Kikristo",,,,Edit Word Delete Word Create a Question,,,,,,
8868,miski,unga mweusi unaotumika kutengenezea manukato,,,,Edit Word Delete Word Create a Question,,,,,,
8869,mita,"chombo kinachoonyesha kiasi cha matumizi ya kitu kwa mfano maji, umeme",,,,Edit Word Delete Word Create a Question,,,,,,
8870,mitabendi,masafa ya mawimbi ya sauti yanayorushwa na kituo cha redio,,,,Edit Word Delete Word Create a Question,,,,,,
8871,mitara,wanawake zaidi ya mmoja walioolewa na mume mmoja: Baba yake alikuwa na mitara. | ndoa ya wake wengi,,,,Edit Word Delete Word Create a Question,,,,,,
8872,mitembo,"matende yenye mipasuko, ugonjwa wa kupasuka visigino",,,,Edit Word Delete Word Create a Question,,,,,,
8873,miteni,mia mara mbili,,,,Edit Word Delete Word Create a Question,,,,,,
8874,mithaki,kamilifu,madhubuti,,,Edit Word Delete Word Create a Question,,,,,,
8875,mithili,neno litumikalo kufananisha vitu: Anaongea mithili ya kibogoyo.,,,,Edit Word Delete Word Create a Question,,,,,,
8876,mithilisha,onyesha hali ya kufanana kwa kitu kimoja na kingine,"fananisha, linganisha","mithilishiana, mithilishika, mithilishiwa, mithilishwa",,Edit Word Delete Word Create a Question,,,,,,
8877,mitishamba,dawa asilia zitokanazo na mimea inayomea msituni au kupandwa kimakusudi kwa sababu hiyo,,,,Edit Word Delete Word Create a Question,,,,,,
8878,mitongo,sauti anayotoa mgonjwa anapozidiwa: Mara kwa mara mgonjwa akizidiwa mitongo huwa ishara.,,,,Edit Word Delete Word Create a Question,,,,,,
8879,mitu,kasuku wadogo wa jamii ya kwale wenye rangi ya buluu na manjano,,,,Edit Word Delete Word Create a Question,,,,,,
8880,miuja,"mambo yasiyokuwa ya kawaida, mambo ya ajabu",miujiza,,,Edit Word Delete Word Create a Question,,,,,,
8881,miundombinu,"aina ya mfumo fulani wa kitu, mahali, shirika au asasi unaowezesha shughuli fulani kufanyika kwa ufanisi kwa mfano mfumo wa simu au wa usafiri",,,,Edit Word Delete Word Create a Question,,,,,,
8882,miwani,kifaa kilichotengenezwa kwa vioo na vishikio viwili vya masikio na huvaliwa machoni aghalabu na mtu asiyeweza kuona vizuri,,,,Edit Word Delete Word Create a Question,,,,,,
8883,mizani,kifaa kitumikacho kupima uzito wa vitu: Mizani hii inapima uzito wa kilo tano tu. | silabi za mstari wa shairi au utenzi: Mashairi mengi yana mizani kumi na sita. | utulivu wa mawazo unaomwezesha kutafakari jambo kwa makini na busara,,,,Edit Word Delete Word Create a Question,,,,,,
8884,mizania,makadirio ya ulinganifu wa matumizi na mapato ya fedha,,,,Edit Word Delete Word Create a Question,,,,,,
8885,mizungu,mafunzo ya hekima hususan katika kumbi za uganga yanayotolewa kwa siri | matendo ya kudanganya macho ambayo humfanya mtu kuona mambo kinyume na jinsi yalivyo,"kinyago, kiinimacho, mazingaombwe, mauzauza",,,Edit Word Delete Word Create a Question,,,,,,
8886,mja,mwanadamu,"mtu, binadamu",,,Edit Word Delete Word Create a Question,,,,,,
8887,mjadala,mazungumzo yanayohusu mada mahususi ambayo hufanywa kwa kujenga hoja,,,,Edit Word Delete Word Create a Question,,,,,,
8888,mjafari,"mti ulio na miba, maua ya njano na majani madogo yaliyo shinani na ambao mizizi yake hutu",,,,Edit Word Delete Word Create a Question,,,,,,
8889,mjaji,mtu anayekuja: Mjaji kesho ni nani?,,,,Edit Word Delete Word Create a Question,,,,,,
8890,mjakaranda,mti mrefu unaotoa maua ya rangi ya zambarau,,,,Edit Word Delete Word Create a Question,,,,,,
8891,mjakazi,"mtumwa wa kike, mwanamke anayefanyishwa kazi kama mtumwa",kijakazi,,,Edit Word Delete Word Create a Question,,,,,,
8892,mjali,utambi wa taa ya kandili au kibatari,,,,Edit Word Delete Word Create a Question,,,,,,
8893,mjamzito,mwanamke aliye na mimba,,,,Edit Word Delete Word Create a Question,,,,,,
8894,mjane,mke au mume aliyefiwa au kuachana na mwenzake | mtu asiyeoa wala kuolewa,,,,Edit Word Delete Word Create a Question,,,,,,
8895,mjango,safari aifanyayo mtu ambayo haimpatii tija yoyote,,,,Edit Word Delete Word Create a Question,,,,,,
8896,mjanja,"mtu asiye mkweli, mtu mwenye ghiliba au hila","mdanganyifu, ayari, mwongo, laghai, guberi, baramaki",,,Edit Word Delete Word Create a Question,,,,,,
8897,mjao,kujaa tele kwa maji katika chombo au bahari hadi mengine kumiminika: Bahari mjao kujaa kwa bahari,bamvua,,,Edit Word Delete Word Create a Question,,,,,,
8898,mjarari,kamba inayoviringishwa kwenye gurudumu la cherehani au usukani wa chombo ili kuuzungusha,ujari,,,Edit Word Delete Word Create a Question,,,,,,
8899,mjasiriamali,mtu anayethubutu kuingiza mtaji katika biashara bila ya kujali hasara: Bill Gates ni mjasiriamali anayetambulika ulimwenguni kote.,,,,Edit Word Delete Word Create a Question,,,,,,
8900,mjatete,mti wa jamii ya mgunga,,,,Edit Word Delete Word Create a Question,,,,,,
8901,mjeledi,kiboko kinachonepa ambacho hutumiwa kuchapia watu au wanyama,,,,Edit Word Delete Word Create a Question,,,,,,
8902,mjengo,namna kitu kilivyojengwa | mti utumikao kujenga,,,,Edit Word Delete Word Create a Question,,,,,,
8903,mjenzi,mtu afanyaye kazi ya kujenga nyumba au hata barabara,,,,Edit Word Delete Word Create a Question,,,,,,
8904,Mjesuti,padri wa madhehebu ya Kikristo yanayoitwa Chama cha Yesu kilichoanzishwa mwaka 1534,,,,Edit Word Delete Word Create a Question,,,,,,
8905,mjeuri,"mtu asiyekuwa na utii, mtu mwenye ufidhuli, fidhuli",,,,Edit Word Delete Word Create a Question,,,,,,
8906,mji,mahali penye nyumba nyingi za kuishi watu wengi wenye kufanya shughuli tofauti: Mji mkuu wa nchi mji ambao ndio makao ya serikali ya nchi | nyumba wanamoishi watu wa familia moja: Huu ndio mji wa kaka yangu.,kaya,,,Edit Word Delete Word Create a Question,,,,,,
8907,mji,"sehemu ya ndani ya kaburi ambapo maiti hulazwa na kufunikwa na mbao, matawi na kisha kukandikwa kabla kaburi halijafukiwa",mwanandani,,,Edit Word Delete Word Create a Question,,,,,,
8908,mji,sehemu ya tumbo la uzazi la mwanamke aliye na mimba inayounganisha mtoto na mwili wa mama | sehemu ya katikati ya kanga au nguo,,,,Edit Word Delete Word Create a Question,,,,,,
8909,mjibizo,tendo linaloonyesha utashi wa kufanya kinyume cha vile ilivyofanywa awali kwa mfano vita vya Mau Mau (Kenya) vilikuwa mjibizo wa utawala wa kikoloni wa Mwingereza,,,,Edit Word Delete Word Create a Question,,,,,,
8910,mjiko,ugonjwa unaosababisha mkundu kuvimba na kutokeza nje hata damu kutoka,"kikundu, futuri, puru, bawasiri",,,Edit Word Delete Word Create a Question,,,,,,
8911,mjima,mtu mmojawapo kati ya wakulima wa ushirika,,,,Edit Word Delete Word Create a Question,,,,,,
8912,mjinga,mtu asiyejua kitu | tamko la kuonyesha dharau kwa anayeambiwa,"fala, juha, gulagula",,,Edit Word Delete Word Create a Question,,,,,,
8913,mjinga,mti unaotoa utomvu mweupe na maua meupe yenye doa la njano katikati,"mbono, msanapiti",,,Edit Word Delete Word Create a Question,,,,,,
8914,mjio,"jambo linalomfanya mtu au kitu kuja, hali ya kuja",,,,Edit Word Delete Word Create a Question,,,,,,
8915,mjisifu,"mtu ajisifuye mwenyewe, apendaye kujinaki",,,,Edit Word Delete Word Create a Question,,,,,,
8916,mjo,"hali ya ujaji, tendo la kuja: Mjo wake haukuwa wa kawaida.",,,,Edit Word Delete Word Create a Question,,,,,,
8917,mjoho,mti unaofanana na mtufaha mwitu na huzaa matunda damu au mafaume ambayo nyama yake ni nyekundu,,,,Edit Word Delete Word Create a Question,,,,,,
8918,mjohoro,"mti wenye majani madogo na membamba yaliyojipanga katika jozi na yasiyopukutika yote, maua ya manjano na vishada vya tumba ndefu nyembamba",mkenge,,,Edit Word Delete Word Create a Question,,,,,,
8919,mjoja,mti mgumu utumiwao kutengeneza ngalawa,,,,Edit Word Delete Word Create a Question,,,,,,
8920,mjoli,mtu ambaye ni kizalia cha mtumwa aliyeachwa huru,,,,Edit Word Delete Word Create a Question,,,,,,
8921,mjomba,"mwanamume aliye ndugu ya mama, kaka ya mama",,,,Edit Word Delete Word Create a Question,,,,,,
8922,mjomba,samaki mwembamba na mrefu apatikanaye katika majichumvi,,,,Edit Word Delete Word Create a Question,,,,,,
8923,mjomba,jina aitwalo mtu wa pwani na watu wa bara: Mjomba una kisamvu au kihogo utugawie?,Mswahili,,,Edit Word Delete Word Create a Question,,,,,,
8924,mjombakaka,mjusi mkubwa aishiye miambani au mitini,,,,Edit Word Delete Word Create a Question,,,,,,
8925,mjuba,aina fulani ya mjusi mkubwa,,,,Edit Word Delete Word Create a Question,,,,,,
8926,mjuba,"mtu fidhuli na jeuri, mtu ajifanyaye kuwa anajua ilhali hajui",,,,Edit Word Delete Word Create a Question,,,,,,
8927,mjukuu,mtoto anayezaliwa na mtoto wako,,,,Edit Word Delete Word Create a Question,,,,,,
8928,mjumbe,"mtu aliyetumwa kupeleka taarifa | mtu anayehudhuria mkutano kwa niaba ya shirika lake, mtu aliyeteuliwa kuwakilisha watu wengine katika mkutano",,,,Edit Word Delete Word Create a Question,,,,,,
8929,mjume,mtu mwenye ujuzi wa kutia nakshi vyombo kwa mfano madini na kadhalika,,,,Edit Word Delete Word Create a Question,,,,,,
8930,mjumu,mtu anayefua visu,,,,Edit Word Delete Word Create a Question,,,,,,
8931,mjumu,kisu kikubwa kisichokuwa na mpini,,,,Edit Word Delete Word Create a Question,,,,,,
8932,mjusi,"mnyama wa jamii ya kenge lakini mdogo kwa umbo, ambaye huishi kwenye mashimo, miamba, nyumba na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
8933,mjusi,ugonjwa unaomfanya mtu kutoka damu puani,,,,Edit Word Delete Word Create a Question,,,,,,
8934,mjusiislamu,mjusi anayeishi kwenye mawe ambaye huinua kichwa juu na kukiweka chini,gonda,,,Edit Word Delete Word Create a Question,,,,,,
8935,mjusikafiri,mjusi mdogo anayependa kuishi kwenye kuta za nyumba,,,,Edit Word Delete Word Create a Question,,,,,,
8936,mjuu,upepo unaovuma kuelekea baharini kutoka nchi kavu,,,,Edit Word Delete Word Create a Question,,,,,,
8937,mjuvi,"mtu ajifanyaye anajua vitu vyote | mtu mkorofi, mtu mjeuri","mjuaji, baramaki, mjuba",,,Edit Word Delete Word Create a Question,,,,,,
8938,mjuzi,mahiri wa kufanya jambo fulani,"bingwa, stadi, galacha",,,Edit Word Delete Word Create a Question,,,,,,
8939,mkaa,mabaki ya kuchomwa kwa vipande vya miti na kuzimwa kabla ya kuwa majivu na kutumiwa kwa kupikia na kadhalika,,,,Edit Word Delete Word Create a Question,,,,,,
8940,mkaa,mtu anayewinda,"mwindaji, mrumba, msasi",,,Edit Word Delete Word Create a Question,,,,,,
8941,mkaa,mti wenye gome litumikalo kama dawa ya kukohoa au kuzuia kuhara,,,,Edit Word Delete Word Create a Question,,,,,,
8942,mkaajabali,mmea mdogo wenye majani ya rangi ya fedha na maua madogo ya rangi ya urujuani,,,,Edit Word Delete Word Create a Question,,,,,,
8943,mkaajikoni,mtu anayependa sana kukaa nyumbani,,,,Edit Word Delete Word Create a Question,,,,,,
8944,mkabala,"mbele ya, tazamana na: Posta ipo mkabala na benki.",,,,Edit Word Delete Word Create a Question,,,,,,
8945,mkabala,uhusiano na watu: Alikuwa na mkabala mwema na majirani zake. | utaratibu wa kufanya jambo,,,,Edit Word Delete Word Create a Question,,,,,,
8946,mkabidhi,mtu mwenye kuhifadhi vitu kwa ajili ya mtu mwingine,,,,Edit Word Delete Word Create a Question,,,,,,
8947,mkabilishamsi,mmea ulio na majani madogo ambayo yana umbo lililogawanyika sehemu tano,,,,Edit Word Delete Word Create a Question,,,,,,
8948,mkadamu,"mtu anayesimamia mashamba, viunga na kadhalika vya mwenye mali",,,,Edit Word Delete Word Create a Question,,,,,,
8949,mkadi,mti mrefu wenye maua yaliyo na mibamiba ambayo hunukia na aghalabu hupatikana kando ya bahari,,,,Edit Word Delete Word Create a Question,,,,,,
8950,mkaguzi,mtu anayechunguza na kuhakiki kazi ili kuthibitisha kuwa imefanywa vyema,,,,Edit Word Delete Word Create a Question,,,,,,
8951,mkahale,kijiti kitumikacho kupakia wanja machoni,,,,Edit Word Delete Word Create a Question,,,,,,
8952,mkahawa,mmea unaozaa buni au kahawa,mbuni,,,Edit Word Delete Word Create a Question,,,,,,
8953,mkahawa,mahali panapouzwa vyakula vidogovidogo kwa mfano chai na kahawa,,,,Edit Word Delete Word Create a Question,,,,,,
8954,mkaidi,"mtu anayebisha jambo analoambiwa, mtu anayekaidi kufanya analotakiwa kufanya","mbishi, mshindani",,,Edit Word Delete Word Create a Question,,,,,,
8955,mkaja,kitambaa au nguo ambayo mwanamke hujifunga tumboni baada ya kujifungua | ada anayolipa mwanamume kwa ndugu wa mchumba wake,,,,Edit Word Delete Word Create a Question,,,,,,
8956,mkaka,mti wa porini wenye kiini cheusi na kigumu na majani madogomadogo,mkurungu,,,Edit Word Delete Word Create a Question,,,,,,
8957,mkakamavu,mtu mchangamfu na anayetembea harakaharaka,,,,Edit Word Delete Word Create a Question,,,,,,
8958,mkakamo,hali ya misuli ya mwili kukaza na kuwa migumu na hata kumfanya mtu kuzirai,,,,Edit Word Delete Word Create a Question,,,,,,
8959,mkakasi,mti mrefu na laini sana,,,,Edit Word Delete Word Create a Question,,,,,,
8960,mkakasi,chombo cha mviringo ambacho kwa ndani huzungushiwa mbao na hutumiwa kuwekea vitu vidogovidogo,,,,Edit Word Delete Word Create a Question,,,,,,
8961,mkakati,mpango unaoandaliwa kwa makini kabisa kwa lengo la kutekeleza jambo fulani,mbinu,,,Edit Word Delete Word Create a Question,,,,,,
8962,mkakau,mti unaozaa kaukau ambazo zikisagwa unga wake hutengenezewa kinywaji au chokoleti,,,,Edit Word Delete Word Create a Question,,,,,,
8963,mkalaminti,mmea mdogo unaonukia wenye maua ya buluu,,,,Edit Word Delete Word Create a Question,,,,,,
8964,mkalatusi,"mti wenye magome yanayobanduka vipandevipande na usiopukutisha majani ambao hukua upesi na hutumika kutengeneza vigingi vya umeme, nyua, dawa au mafuta na mbao zake ni thabiti",,,,Edit Word Delete Word Create a Question,,,,,,
8965,mkale,mtu anayeshikilia mambo ya kale | mtu mwenye umri mkubwa ambaye anajua mambo ya zamani | mtu aliyeishi miaka mingi,mhafidhina,,,Edit Word Delete Word Create a Question,,,,,,
8966,mkaliliaji,mtu anayesimama kwenye mrengo wa ngalawa ili kuifanya isielemee upande mmoja,,,,Edit Word Delete Word Create a Question,,,,,,
8967,mkalimani,mtu anayetafsiri mazungumzo papo kwa papo kutoka lugha moja kwenda lugha nyingine,,,,Edit Word Delete Word Create a Question,,,,,,
8968,mkalio,malipo yanayotolewa kwa wahudumu wa bi harusi kwa kipindi cha juma moja,,,,Edit Word Delete Word Create a Question,,,,,,
8969,mkama,cheo cha mtawala wa jadi katika maeneo ya ukanda wa maziwa makuu ya Afrika Mashariki,,,,Edit Word Delete Word Create a Question,,,,,,
8970,mkamadume,cheo cha mtawala wa jadi huko Pemba,makame,,,Edit Word Delete Word Create a Question,,,,,,
8971,mkamamamba,ndege wa jamii ya mbayuwayu au teleka,,,,Edit Word Delete Word Create a Question,,,,,,
8972,mkamasi,mti wenye matunda yenye utelezi mithili ya kamasi lakini yanayoliwa na binadamu,,,,Edit Word Delete Word Create a Question,,,,,,
8973,mkamatano,hali ya kushikamana kwa nguvu, hali ya kukamatana kwa watu au vitu,,,,Edit Word Delete Word Create a Question,,,,,
8974,mkamba,ugonjwa wa mapafu unaomfanya mtu apumue kwa shida,"kichomi, nimonia",,,Edit Word Delete Word Create a Question,,,,,,
8975,mkambe,sauti ya pigo la maji lifanywalo na mtu au kiumbe kinachoogelea majini | sauti ya pigo la mkia wa chatu anapokamata windo lake,,,,Edit Word Delete Word Create a Question,,,,,,
8976,mkambi,mpigo wa miguu ufanywao na mwogeleaji awapo ndani ya maji,,,,Edit Word Delete Word Create a Question,,,,,,
8977,mkamshi,chombo mfano wa kijiko kikubwa kilichotengenezwa kwa mti ambacho hutumiwa kuchotea mchuzi,,,,Edit Word Delete Word Create a Question,,,,,,
8978,mkanda,"kamba pana ya ngozi, nguo au plastiki inayovaliwa kiunoni | mshipi wa ngozi au nguo wa kuendeshea mtambo",,,,Edit Word Delete Word Create a Question,,,,,,
8979,mkanda,njia nyembamba ya bahari iliyo kati ya pande mbili za nchi kavu,,,,Edit Word Delete Word Create a Question,,,,,,
8980,mkandaa,mti wenye majani madogo unaotumiwa kutengeneza boriti na ambao magome yake hufanywa dawa ya kuhifadhia ngozi za wanyama,"mkoko, msindi",,,Edit Word Delete Word Create a Question,,,,,,
8981,mkandaji,mtu anayechua viungo vya mtu vilivyoteguka au kuvimba,,,,Edit Word Delete Word Create a Question,,,,,,
8982,mkandamizaji,mtu anayewaonea watu na kuwanyima haki zao,,,,Edit Word Delete Word Create a Question,,,,,,
8983,mkandarasi,kampuni inayojenga au kusambaza vifaa kwa mkataba,kandarasi,,,Edit Word Delete Word Create a Question,,,,,,
8984,mkando,kipande cha sabuni au madini chenye umbo la mstatili,mkuo,,,Edit Word Delete Word Create a Question,,,,,,
8985,mkangaja,mti wa jamii ya mchenza uzaao matunda madogo sawa na ndimu aghalabu huwa na majani mengi,,,,Edit Word Delete Word Create a Question,,,,,,
8986,mkanganyiko,hali ya kuchanganyikiwa mawazo,,,,Edit Word Delete Word Create a Question,,,,,,
8987,mkangazi,mti mgumu wenye mbao nyekundu unaofaa kutengenezea samani,,,,Edit Word Delete Word Create a Question,,,,,,
8988,mkanju,mti unaozaa kanju au korosho,"mkorosho, mbibo",,,Edit Word Delete Word Create a Question,,,,,,
8989,mkanya,mti unaotoa maua meupe ambayo hutumiwa kama dawa,,,,Edit Word Delete Word Create a Question,,,,,,
8990,mkarafuu,"mti wenye majani membamba na tumba ambazo zikikaushwa hufanywa kiungo cha chakula au dawa, mti unaozaa karafuu",,,,Edit Word Delete Word Create a Question,,,,,,
8991,mkaragazo,mvua nyingi inyeshayo kwa vishindo,,,,Edit Word Delete Word Create a Question,,,,,,
8992,mkaragazo,tumbaku kali mno,,,,Edit Word Delete Word Create a Question,,,,,,
8993,mkarakala,mti wa mbao ambao mbao zake ni nyeupe,"mtutu, mkarati",,,Edit Word Delete Word Create a Question,,,,,,
8994,mkarambati,mti wa mbao nzuri na ngumu kama mninga,,,,Edit Word Delete Word Create a Question,,,,,,
8995,mkarara,maneno yaliyo katika msitari wa mwisho wa ubeti au wimbo ambayo hukaririwa kila mara wakati wa kusoma shairi au mwimbaji kuitikiwa,,,,Edit Word Delete Word Create a Question,,,,,,
8996,mkarati,mti wenye mbao nyeupe,mkakala,,,Edit Word Delete Word Create a Question,,,,,,
8997,mkasa,"tukio la kutisha linalomfika mtu kwa mfano msiba, ajali au mgogoro | kisa au kituko cha kuwafanya watu wacheke",,,,Edit Word Delete Word Create a Question,,,,,,
8998,mkasabu,"tanashati, -enye kuvutia: Samsoni daima ni mkasabu kwa mavazi yake.",,,,Edit Word Delete Word Create a Question,,,,,,
8999,mkasi,"kifaa cha madini ya chuma chenye visu viwili ambavyo huunganishwa kwa msumari mdogo na hutumiwa kukatia vitu kwa mfano vitawi vya miti, nguo, karatasi na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
9000,mkasiri,mti wenye magome yanayotengenezea rangi ya kusugulia mishipi ili kuiimarisha,mpesi,,,Edit Word Delete Word Create a Question,,,,,,
9001,mkata,mtu asiyekuwa na chochote,fukara,,,Edit Word Delete Word Create a Question,,,,,,
9002,mkataa,"mapatano ya malipo kwa ajili ya kazi ya jumla: Nimepata kazi ya mkataa. | kauli ya mwisho ya kumaliza jambo, mwisho wa jambo","uamuzi, hukumu",,,Edit Word Delete Word Create a Question,,,,,,
9003,mkataba,"makubaliano yanayofanywa kwa maandishi baina ya watu, nchi au kampuni mbili au zaidi kwa ajili ya jambo fulani",,,,Edit Word Delete Word Create a Question,,,,,,
9004,mkatafungo,mti wenye magome yaliyo na kambakamba,,,,Edit Word Delete Word Create a Question,,,,,,
9005,mkatale,mti ambao ulitengenezwa maalumu kwa ajili ya kufungia watumwa miguuni,,,,Edit Word Delete Word Create a Question,,,,,,
9006,mkatavu,mtu mwenye tabia ya kukataa kila jambo analoagizwa kufanya,,,,Edit Word Delete Word Create a Question,,,,,,
9007,mkate,chakula kinachotengenezwa kwa kukandwa unga wa ngano au mchele na kuokwa au kuchomwa | kitu kilichopondwapondwa na kufinyangwa kama mkate,,,,Edit Word Delete Word Create a Question,,,,,,
9008,mkate wa boflo,mkate wa ngano wenye umbo la mstatili,,,,Edit Word Delete Word Create a Question,,,,,,
9009,mkate wa mofa,"mkate wenye umbo la duara unaotengenezwa kwa unga wa mtama, uwele au mahindi",,,,Edit Word Delete Word Create a Question,,,,,,
9010,mkate wa tumbaku,tumbaku iliyopondwa na kufinyangwa kama mkate,,,,Edit Word Delete Word Create a Question,,,,,,
9011,mkato,tendo la kukata | muhtasari wa masimulizi: Alitusimulia kwa mkato. | namna iliyo fupi ya kufanya jambo: Anataka utajiri kwa njia ya mkato, Hii ndiyo njia ya mkato itakayokufikisha mjini.,,,,Edit Word Delete Word Create a Question,,,,,
9012,mkato,"alama ya kituo inayotumiwa katika maandishi kumwashiria msomaji kusimama kidogo kisha aendelee (,)",koma,,,Edit Word Delete Word Create a Question,,,,,,
9013,mkatoliki,mtu aliye muumini wa dini ya Kikristo ya madhehebu ya Kikatoliki,,,,Edit Word Delete Word Create a Question,,,,,,
9014,mkaumwa,mmea ambao mizizi yake hufanywa dawa ya tumbo kwa mfano kuharisha,,,,Edit Word Delete Word Create a Question,,,,,,
9015,mkawini,jina la kutaja sifa za uumbaji za Mwenyezi Mungu,muumbaji,,,Edit Word Delete Word Create a Question,,,,,,
9016,mkayakaya,"mti wenye majani madogo, tumba ndefu na bapa na maua ya njano na mekundu ambayo huchanua sana mwezi wa Desemba","mkrismasi, mkayamba",,,Edit Word Delete Word Create a Question,,,,,,
9017,mkaza,mke wa,,,,Edit Word Delete Word Create a Question,,,,,,
9018,mkazamjomba,mke wa mjomba,,,,Edit Word Delete Word Create a Question,,,,,,
9019,mkazamwana,mke wa mwana,,,,Edit Word Delete Word Create a Question,,,,,,
9020,mkazi,"mtu anayeishi sehemu fulani kwa mfano kijiji, mji, nchi na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
9021,mkazo,utamkaji wa kutia msisitizo katika silabi fulani ya neno,,,,Edit Word Delete Word Create a Question,,,,,,
9022,mkazo,namna ya kukifunga kitu kwa kukikaza ili kiimarike na kuwa thabiti,,,,Edit Word Delete Word Create a Question,,,,,,
9023,mkazo,tendo au tamko lifanywalo kwa nia ya kusisitiza jambo fulani,,,,Edit Word Delete Word Create a Question,,,,,,
9024,mke,mtu wa jinsia ya kike aliyeolewa,,,,Edit Word Delete Word Create a Question,,,,,,
9025,mkebe,"kopo aghalabu dogo la kuwekea vitu vidogovidogo kama vile sigara au ubani, kopo la kunywea maji",,,,Edit Word Delete Word Create a Question,,,,,,
9026,mkeka,"namna ya jamvi lililotengenezwa kwa ukili ambalo watu hutumia kukalia, kulalia au kuswalia",,,,Edit Word Delete Word Create a Question,,,,,,
9027,mkeka wa kazi,mkeka ambao kili zake zimesukwa kwa urembo fulani,,,,Edit Word Delete Word Create a Question,,,,,,
9028,mkeka wa mfuto,mkeka wa kawaida usiokuwa na marembo yoyote,,,,Edit Word Delete Word Create a Question,,,,,,
9029,mkeketo,ukataji wa vitu ili viwe na urefu unaolingana | hali ya kuwa na kimo kilicho sawa: Maharusi wale wana mkeketo mmoja. | mtindo wa kutahiri mwanamke,,,,Edit Word Delete Word Create a Question,,,,,,
9030,mkeketo,kuuma kwa tumbo kwa kukeketa | kusigina kitu kwa kisu butu,,,,Edit Word Delete Word Create a Question,,,,,,
9031,mkekewa,mmea unaotanda sana wenye shina la mibamiba na ambao mara nyingi hutambaa kwenye miti hadi kileleni,,,,Edit Word Delete Word Create a Question,,,,,,
9032,mkembe,mtoto mwenye umri ulio chini ya miaka mitano | kijana aliyekwisha balehe ambaye bado hajaoa wala kuolewa mwana mkembe kijana mchanga,,,,Edit Word Delete Word Create a Question,,,,,,
9033,mkemi,mwanamuziki anayepiga muziki wa kemo,,,,Edit Word Delete Word Create a Question,,,,,,
9034,mkemia,mtu anayetengeneza na kuuza dawa kwenye duka la dawa | mtaalamu katika elimu ya kemia,,,,Edit Word Delete Word Create a Question,,,,,,
9035,mkemwenza,mwanamke aliyeolewa mitara,,,,Edit Word Delete Word Create a Question,,,,,,
9036,mkenge,mti wenye matawi mengi yaliyoanzia chini na majani yenye vijani vilivyojipanga katika jozi na vishada vya tumba nyembamba,mjohoro,,,Edit Word Delete Word Create a Question,,,,,,
